"","Name","Date","Forest","Plot_num","Plot_lat","Plot_long","Percent_bare","Percent_nonvascular","Percent_ferns","Percent_angiosperms","Regen_densiometer","Regen_canopyapp","Density_quadrant","Densiometer","Canopyapp","Herb_spp"
"1","Olivia","29-Jul-22","Kip",3,44.58638,-75.139694,40,5,20,35,94.8,95.7,1,91.68,86.683,"Viburnum, ferns, mosss, grass, American jumpseed, creeping Jeny, partridgeberry, horsetail"
"2","Olivia","29-Jul-22","Kip",3,44.58638,-75.139694,40,5,20,35,94.8,95.7,2,83.36,90.045,"Viburnum, ferns, mosss, grass, American jumpseed, creeping Jeny, partridgeberry, horsetail"
"3","Olivia","29-Jul-22","Kip",3,44.58638,-75.139694,40,5,20,35,94.8,95.7,3,91.68,93.062,"Viburnum, ferns, mosss, grass, American jumpseed, creeping Jeny, partridgeberry, horsetail"
"4","Olivia","29-Jul-22","Kip",3,44.58638,-75.139694,40,5,20,35,94.8,95.7,4,86.48,92.779,"Viburnum, ferns, mosss, grass, American jumpseed, creeping Jeny, partridgeberry, horsetail"
"5","Olivia","29-Jul-22","Kip",2,44.586529,-75.137945,95,0,0,5,89.6,82.832,1,81.28,79.516,"Grass"
"6","Olivia","29-Jul-22","Kip",2,44.586529,-75.137945,95,0,0,5,89.6,82.832,2,88.56,79.356,"Grass"
"7","Olivia","29-Jul-22","Kip",2,44.586529,-75.137945,95,0,0,5,89.6,82.832,3,90.64,75.655,"Grass"
"8","Olivia","29-Jul-22","Kip",2,44.586529,-75.137945,95,0,0,5,89.6,82.832,4,89.6,72.188,"Grass"
"9","Olivia","29-Jul-22","Kip",1,44.58565,-75.13487,20,50,10,20,71.92,60.391,1,90.64,75.66,"Goldthread, mosss, ferns, flase lily of the vally, grasses"
"10","Olivia","29-Jul-22","Kip",1,44.58565,-75.13487,20,50,10,20,71.92,60.391,2,86.48,75.43,"Goldthread, mosss, ferns, flase lily of the vally, grasses"
"11","Olivia","29-Jul-22","Kip",1,44.58565,-75.13487,20,50,10,20,71.92,60.391,3,79.2,83.142,"Goldthread, mosss, ferns, flase lily of the vally, grasses"
"12","Olivia","29-Jul-22","Kip",1,44.58565,-75.13487,20,50,10,20,71.92,60.391,4,69.84,50.711,"Goldthread, mosss, ferns, flase lily of the vally, grasses"
"13","Olivia","29-Jul-22","Degrasse",1,44.359652,-75.095278,10,15,0,75,58.4,53.28,1,82.32,59.721,"Raspberry, blackberry, grasses, false lily of the vally, starflower, moss"
"14","Olivia","29-Jul-22","Degrasse",1,44.359652,-75.095278,10,15,0,75,58.4,53.28,2,61.52,59.78,"Raspberry, blackberry, grasses, false lily of the vally, starflower, moss"
"15","Olivia","29-Jul-22","Degrasse",1,44.359652,-75.095278,10,15,0,75,58.4,53.28,3,62.56,48.758,"Raspberry, blackberry, grasses, false lily of the vally, starflower, moss"
"16","Olivia","29-Jul-22","Degrasse",1,44.359652,-75.095278,10,15,0,75,58.4,53.28,4,58.4,61.986,"Raspberry, blackberry, grasses, false lily of the vally, starflower, moss"
"17","Olivia","29-Jul-22","Degrasse",3,44.360234,-75.094309,50,15,0,35,94.8,91.043,1,54.24,55.79,"Grasses, false lily of the vally, spirea, blackberry"
"18","Olivia","29-Jul-22","Degrasse",3,44.360234,-75.094309,50,15,0,35,94.8,91.043,2,57.36,60.793,"Grasses, false lily of the vally, spirea, blackberry"
"19","Olivia","29-Jul-22","Degrasse",3,44.360234,-75.094309,50,15,0,35,94.8,91.043,3,55.28,39.438,"Grasses, false lily of the vally, spirea, blackberry"
"20","Olivia","29-Jul-22","Degrasse",3,44.360234,-75.094309,50,15,0,35,94.8,91.043,4,69.84,48.317,"Grasses, false lily of the vally, spirea, blackberry"
"21","Olivia, Erika, Laura","26-Jul-22","Black ash stand",1,44.425551,-75.104105,25,10,35,30,86.48,89.505,1,93.76,86.53,"Ferns, moss, dwarf raspberry, three leafed rattlesnake root, wild strawberry, bishops cap, goldenrod, meddowrue"
"22","Olivia, Erika, Laura","26-Jul-22","Black ash stand",1,44.425551,-75.104105,25,10,35,30,86.48,89.505,2,85.44,91.325,"Ferns, moss, dwarf raspberry, three leafed rattlesnake root, wild strawberry, bishops cap, goldenrod, meddowrue"
